Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Sean Steur,,MF,Newcastle,,,4,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,161,,,0.0,,,,,,,,,,,
Semi Ajayi,,DF,Hull City,,,4,4,333,3.7,1,0,1,1,0,0,1,0,0.27,0.0,0.27,0.27,0.27,False,2026-27,2026,True,4.0,0.27,1,333,,,0.27,,,,,,,,,,,
Senne Lammens,,GK,Manchester Utd,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3240,2880.0,-2520.0,0.0,0.0,,529.0,,,,,,,,
Shea Charles,,MF,Fulham,22.0,2003.0,4,2,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,243,28.0,187.0,0.0,0.0,,484.0,,,,,,,,
Shea Lacey,,FW,Manchester Utd,18.0,2007.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,54,43.0,-32.0,0.0,0.0,,324.0,,,,,,,,
Sidiki Cherif,,FW,Coventry City,,,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,31,,,0.0,,,,,,,,,,,
Sindre Egeli,,"FW,MF",Ipswich Town,,,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,11,,,0.0,,,,,,,,,,,
Sorba Thomas,,"FW,MF",Hull City,,,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,59,,,0.0,,,,,,,,,,,
Sven Botman,,DF,Newcastle,25.0,2000.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7111,1835.0,-1475.0,0.028241749374646984,0.09803921568627452,0.0,625.0,,,,,,,,
Sávio,,MF,Tottenham,21.0,2004.0,2,2,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2749,833.0,-683.0,0.09881013337234536,0.2150537634408602,0.4591836734693877,441.0,,,,,,,,
Taiwo Awoniyi,,FW,Coventry City,28.0,1997.0,4,3,233,2.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,3589,494.0,-261.0,0.2459856362071921,0.9090909090909091,0.2173913043478261,784.0,,,,,,,,
Takehiro Tomiyasu,,DF,Crystal Palace,27.0,1998.0,3,1,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,3645,7.0,140.0,0.021357977853075895,0.0,0.234375,729.0,,,,,,,,
Tammy Abraham,,FW,Aston Villa,28.0,1997.0,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,357,286.0,-215.0,0.20833333333333337,0.625,,784.0,,,,,,,,
Tarik Muharemovic,,DF,Leeds United,,,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,False,2026-27,2026,True,4.0,0.25,1,360,,,0.25,,,,,,,,,,,
Tatsuhiro Sakamoto,,"FW,MF",Coventry City,,,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,32,,,0.0,,,,,,,,,,,
Thierno Barry,,FW,Everton,23.0,2002.0,4,4,327,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,False,2026-27,2026,True,4.0,0.28,2,2241,1914.0,-1587.0,0.3118622848200313,0.3755868544600939,,529.0,,,,,,,,
Thomas Meunier,,"MF,DF",Sunderland,,,4,4,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,318,,,0.0,,,,,,,,,,,
Tim Iroegbunam,,MF,Everton,22.0,2003.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,2322,1487.0,-1482.0,0.038510101010101015,0.12121212121212122,0.15625,484.0,,,,,,,,
Tim Iroegbunam,,MF,Hull City,22.0,2003.0,1,0,22,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,2344,5.0,17.0,0.012836700336700339,0.0,0.12121212121212122,484.0,,,,,,,,
Timothy Castagne,,DF,Fulham,30.0,1995.0,4,4,318,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,False,2026-27,2026,True,4.0,0.28,6,11827,1845.0,-1527.0,0.19539644099029624,0.0,0.0546448087431694,900.0,,,,,,,,
Tino Livramento,,"DF,MF",Newcastle,23.0,2002.0,2,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7746,1328.0,-1294.0,0.019386257032856045,0.06756756756756756,0.03164556962025316,529.0,,,,,,,,
Tosin Adarabioyo,,DF,Tottenham,28.0,1997.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,5912,795.0,-789.0,0.01271181334184157,0.0,0.12738853503184713,784.0,,,,,,,,
Trai Hume,,MF,Sunderland,23.0,2002.0,3,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3232,3036.0,-2840.0,0.02967359050445104,0.08902077151335311,,529.0,,,,,,,,
Trey Nyoni,,MF,Liverpool,18.0,2007.0,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,45,24.0,-3.0,0.0,0.0,,324.0,,,,,,,,
