Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Dominic Solanke,,FW,Tottenham,28.0,1997.0,4,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9495,1001.0,-893.0,0.11610934976092259,0.2702702702702703,0.4897959183673469,784.0,,,,,,,,
Dominik Szoboszlai,,MF,Liverpool,25.0,2000.0,4,4,360,4.0,1,0,1,0,1,1,0,0,0.25,0.0,0.25,0.0,0.0,False,2026-27,2026,True,4.0,0.25,4,8186,3231.0,-2871.0,0.287140857641323,0.36211699164345407,0.4332129963898917,625.0,,,,,,,,
Dwight McNeil,,MF,Crystal Palace,26.0,1999.0,2,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,11121,1168.0,-1083.0,0.07582964763512876,0.07692307692307693,0.6578947368421053,676.0,,,,,,,,
Eberechi Eze,,"FW,MF",Arsenal,27.0,1998.0,3,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7954,2588.0,-2518.0,0.18767292942045194,0.5555555555555556,0.6578947368421052,729.0,,,,,,,,
Eddie Nketiah,,"MF,FW",Crystal Palace,26.0,1999.0,3,3,166,1.8,0,1,1,0,0,0,0,0,0.0,0.54,0.54,0.0,0.54,False,2026-27,2026,True,4.0,0.54,6,4630,424.0,-258.0,0.5007868335011811,0.425531914893617,0.34782608695652173,676.0,,,,,,,,
El Hadji Malick Diouf,,"DF,MF",Brentford,21.0,2004.0,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2738,2707.0,-2676.0,0.055370985603543754,0.16611295681063123,,441.0,,,,,,,,
Elliot Anderson,,MF,Manchester City,23.0,2002.0,4,4,323,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7819,3331.0,-3008.0,0.07462121981560196,0.21621621621621623,0.264026402640264,529.0,,,,,,,,
Elliot Stroud,,MF,Hull City,,,4,4,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,249,,,0.0,,,,,,,,,,,
Ellis Simms,,FW,Coventry City,24.0,2001.0,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,378,228.0,-139.0,0.08888888888888889,0.4,0.0,576.0,,,,,,,,
Emersonn,,FW,Ipswich Town,,,4,4,237,2.6,2,1,3,2,0,0,0,0,0.76,0.38,1.14,0.76,1.14,False,2026-27,2026,True,4.0,1.14,1,237,,,1.14,,,,,,,,,,,
Emi Buendía,,"MF,FW",Aston Villa,29.0,1996.0,4,4,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6475,1755.0,-1444.0,0.1034683591803207,0.41025641025641024,0.0,841.0,,,,,,,,
Emile Smith Rowe,,MF,Fulham,25.0,2000.0,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,6453,1923.0,-1882.0,0.07783441280922769,0.14018691588785048,0.39647577092511016,625.0,,,,,,,,
Emiliano Martínez,,GK,Chelsea,33.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,15693,2835.0,-2565.0,0.0070546737213403885,0.031746031746031744,0.0,1089.0,,,,,,,,
Enzo Fernández,,MF,Chelsea,24.0,2001.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9844,3115.0,-3089.0,0.1258395114840821,0.40462427745664736,0.39755351681957185,576.0,,,,,,,,
Enzo Fernández,,MF,Manchester City,24.0,2001.0,2,2,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,10000,26.0,130.0,0.04194650382802737,0.0,0.40462427745664736,576.0,,,,,,,,
Enzo Le Fée,,MF,Sunderland,25.0,2000.0,4,4,348,3.9,1,0,1,0,1,2,0,0,0.26,0.0,0.26,0.0,0.0,False,2026-27,2026,True,4.0,0.26,2,3278,2930.0,-2582.0,0.2858077709611452,0.3374233128834356,,625.0,,,,,,,,
Ephron Mason-Clark,,MF,Coventry City,,,3,3,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,187,,,0.0,,,,,,,,,,,
Erling Haaland,,FW,Manchester City,25.0,2000.0,4,4,360,4.0,4,0,4,4,0,0,0,0,1.0,0.0,1.0,1.0,1.0,False,2026-27,2026,True,4.0,1.0,5,11370,2953.0,-2593.0,1.010168150059488,1.0670731707317074,0.8223684210526316,625.0,,,,,,,,
Estêvão Willian,,MF,Chelsea,18.0,2007.0,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,871,848.0,-825.0,0.14184397163120568,0.425531914893617,,324.0,,,,,,,,
Ethan Ampadu,,MF,Leeds United,25.0,2000.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3479,3119.0,-2759.0,0.01921229586935639,0.05763688760806916,,625.0,,,,,,,,
Ethan Pinnock,,DF,Coventry City,32.0,1993.0,3,2,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,10339,318.0,-125.0,0.009817291793205247,0.0,0.09389671361502347,1024.0,,,,,,,,
Evanilson,,FW,Bournemouth,26.0,1999.0,4,4,333,3.7,0,3,3,0,0,0,1,0,0.0,0.81,0.81,0.0,0.81,False,2026-27,2026,True,4.0,0.81,3,5394,2742.0,-2409.0,0.6383747758433234,0.22950819672131148,0.4263565891472868,676.0,,,,,,,,
Evann Guessand,,"FW,MF",Crystal Palace,,,2,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,56,,,0.0,,,,,,,,,,,
Exequiel Palacios,,MF,Ipswich Town,,,3,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,196,,,0.0,,,,,,,,,,,
Ezri Konsa,,DF,Arsenal,28.0,1997.0,3,2,192,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,15031,3035.0,-2843.0,0.0055677976561060325,0.0,0.06134969325153374,784.0,,,,,,,,
Fabian Schär,,DF,Newcastle,34.0,1991.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,12444,1091.0,-1090.0,0.014341277683365707,0.0,0.12269938650306748,1156.0,,,,,,,,
Ferdi Kadioglu,,DF,Brighton,26.0,1999.0,3,3,257,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3775,3133.0,-2876.0,0.03222548932252221,0.02873563218390805,0.23255813953488372,676.0,,,,,,,,
Florentino Luís,,MF,Ipswich Town,26.0,1999.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2119,2105.0,-2091.0,0.028490028490028494,0.08547008547008547,,676.0,,,,,,,,
Florian Wirtz,,MF,Liverpool,22.0,2003.0,4,4,331,3.7,0,1,1,0,0,0,1,0,0.0,0.27,0.27,0.0,0.27,False,2026-27,2026,True,4.0,0.27,2,2709,2378.0,-2047.0,0.28101010101010104,0.30303030303030304,,484.0,,,,,,,,
Frank Onyeka,,MF,Coventry City,27.0,1998.0,3,3,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,3395,92.0,132.0,0.22971555865062931,1.0,0.0,729.0,,,,,,,,
Gabriel Gudmundsson,,MF,Leeds United,26.0,1999.0,2,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2792,2631.0,-2470.0,0.0,0.0,,676.0,,,,,,,,
Gabriel Magalhães,,DF,Arsenal,28.0,1997.0,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,14990,2751.0,-2391.0,0.06627988931191524,0.22875816993464052,0.1520912547528517,784.0,,,,,,,,
George Hemmings,,MF,Aston Villa,18.0,2007.0,4,4,279,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,306,27.0,252.0,0.0,0.0,,324.0,,,,,,,,
Georginio Rutter,,FW,Brighton,23.0,2002.0,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,False,2026-27,2026,True,4.0,1.0,4,3805,1786.0,-1696.0,0.7785585321817206,0.30303030303030304,0.4347826086956522,529.0,,,,,,,,
Geovany Quenda,,MF,Chelsea,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,9,,,0.0,,,,,,,,,,,
Gianluigi Donnarumma,,GK,Manchester City,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3420,3060.0,-2700.0,0.0,0.0,,676.0,,,,,,,,
Gonzalo García,,FW,Fulham,,,4,4,346,3.8,1,0,1,1,0,0,0,0,0.26,0.0,0.26,0.26,0.26,False,2026-27,2026,True,4.0,0.26,1,346,,,0.26,,,,,,,,,,,
Granit Xhaka,,MF,Sunderland,33.0,1992.0,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,8584,2904.0,-2544.0,0.08359187237756212,0.21671826625387,0.42042042042042044,1089.0,,,,,,,,
Gustavo Hamer,,MF,Coventry City,28.0,1997.0,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2945,2910.0,-2875.0,0.10319917440660477,0.30959752321981426,,784.0,,,,,,,,
Habib Diarra,,MF,Sunderland,21.0,2004.0,2,0,29,0.3,0,1,1,0,0,0,0,0,0.0,3.1,3.1,0.0,3.1,False,2026-27,2026,True,4.0,3.1,2,1434,1405.0,-1376.0,2.152136752136752,0.25641025641025644,,441.0,,,,,,,,
Harrison Armstrong,,MF,Everton,18.0,2007.0,4,4,355,3.9,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,False,2026-27,2026,True,4.0,0.25,3,932,529.0,-174.0,0.16666666666666666,0.0,0.0,324.0,,,,,,,,
Harry Maguire,,DF,Manchester Utd,32.0,1993.0,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,8706,1653.0,-1293.0,0.04554574020229484,0.16304347826086957,0.05128205128205128,1024.0,,,,,,,,
Harry Wilson,,MF,Leeds United,28.0,1997.0,4,1,147,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6702,2673.0,-2526.0,0.18617026460745137,0.5723905723905724,0.5426356589147286,784.0,,,,,,,,
Harvey Barnes,,MF,Newcastle,28.0,1997.0,4,4,359,4.0,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,False,2026-27,2026,True,4.0,0.25,6,9694,1966.0,-1607.0,0.3264473252079987,0.36697247706422015,0.6666666666666666,784.0,,,,,,,,
Hayden Hackney,,MF,Everton,,,4,1,139,1.5,0,1,1,0,0,0,0,0,0.0,0.65,0.65,0.0,0.65,False,2026-27,2026,True,4.0,0.65,1,139,,,0.65,,,,,,,,,,,
Hidemasa Morita,,MF,Hull City,,,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,45,,,0.0,,,,,,,,,,,
Honest Ahanor,,DF,Crystal Palace,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,90,,,0.0,,,,,,,,,,,
Hugo Larsson,,MF,Fulham,,,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,26,,,0.0,,,,,,,,,,,
Ian Maatsen,,DF,Aston Villa,23.0,2002.0,4,4,335,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3288,1605.0,-1270.0,0.02998220728026975,0.056179775280898875,0.2362204724409449,529.0,,,,,,,,
Ibrahim Mbaye,,FW,Aston Villa,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,28,,,0.0,,,,,,,,,,,
Ibrahim Osman,,"FW,MF",Brighton,,,3,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,43,,,0.0,,,,,,,,,,,
Ibrahim Sangaré,,MF,Nottingham,28.0,1997.0,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3799,2075.0,-1976.0,0.04970338303671638,0.17316017316017315,0.15151515151515152,784.0,,,,,,,,
Igor Jesus,,FW,Nottingham,24.0,2001.0,4,2,227,2.5,1,0,1,1,0,0,1,0,0.4,0.0,0.4,0.4,0.4,False,2026-27,2026,True,4.0,0.4,2,2525,2298.0,-2071.0,0.3973856209150327,0.39215686274509803,,576.0,,,,,,,,
Igor Thiago,,FW,Brentford,24.0,2001.0,4,4,352,3.9,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3809,3282.0,-2930.0,0.14003044140030443,0.6301369863013698,0.0,576.0,,,,,,,,
Iliman Ndiaye,,MF,Everton,25.0,2000.0,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,False,2026-27,2026,True,4.0,0.5,3,5388,2778.0,-2598.0,0.4350952894642215,0.29126213592233013,0.3333333333333333,625.0,,,,,,,,
Iliman Ndiaye,,MF,Manchester City,25.0,2000.0,2,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5519,180.0,-49.0,0.1450317631547405,0.5,0.29126213592233013,625.0,,,,,,,,
Issa Diop,,DF,Ipswich Town,28.0,1997.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,6914,816.0,-456.0,0.02517205593529581,0.10989010989010989,0.0,784.0,,,,,,,,
Jack Clarke,,MF,Ipswich Town,25.0,2000.0,3,1,107,1.2,1,0,1,1,0,0,1,0,0.84,0.0,0.84,0.84,0.84,False,2026-27,2026,True,4.0,0.84,2,1288,1181.0,-1074.0,0.6617811704834605,0.3053435114503817,,625.0,,,,,,,,
Jack Grealish,,"FW,MF",Everton,30.0,1995.0,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7377,1627.0,-1576.0,0.13104766328216752,0.4419889502762431,0.25,900.0,,,,,,,,
Jack Grealish,,"FW,MF",Manchester City,30.0,1995.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,7,7386,51.0,-42.0,0.04368255442738918,0.0,0.4419889502762431,900.0,,,,,,,,
Jack Hinshelwood,,MF,Brighton,20.0,2005.0,1,1,63,0.7,2,0,2,2,0,0,0,0,2.86,0.0,2.86,2.86,2.86,False,2026-27,2026,True,4.0,2.86,5,4517,1741.0,-1678.0,2.0201954888662,0.3626943005181347,0.34146341463414637,400.0,,,,,,,,
Jack Rudoni,,MF,Coventry City,,,4,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,225,,,0.0,,,,,,,,,,,
Jacob Greaves,,DF,Ipswich Town,25.0,2000.0,4,4,357,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2562,2205.0,-1848.0,0.01360544217687075,0.04081632653061224,,625.0,,,,,,,,
Jacob Murphy,,MF,Newcastle,30.0,1995.0,4,1,94,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7984,1617.0,-1523.0,0.14128456272637038,0.2777777777777778,0.7633587786259542,900.0,,,,,,,,
Jacob Ramsey,,MF,Newcastle,24.0,2001.0,3,0,72,0.8,1,0,1,1,0,0,1,0,1.25,0.0,1.25,1.25,1.25,False,2026-27,2026,True,4.0,1.25,6,9101,1450.0,-1378.0,0.9287086036886715,0.3105590062111801,0.2222222222222222,576.0,,,,,,,,
Jaden Philogene Bidace,,"FW,MF",Ipswich Town,23.0,2002.0,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,38,4.0,25.0,0.0,0.0,0.0,529.0,,,,,,,,
Jaidon Anthony,,MF,Brentford,26.0,1999.0,4,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,4319,2722.0,-2534.0,0.08416552787413716,0.33112582781456956,0.0,676.0,,,,,,,,
Jair Cunha,,DF,Nottingham,20.0,2005.0,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,787,517.0,-247.0,0.0,0.0,,400.0,,,,,,,,
Jaka Bijol,,DF,Leeds United,26.0,1999.0,3,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2055,1890.0,-1725.0,0.04761904761904762,0.14285714285714285,,676.0,,,,,,,,
Jake O'Brien,,DF,Everton,24.0,2001.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,4707,3120.0,-3104.0,0.02550660994465029,0.05763688760806916,0.11428571428571428,576.0,,,,,,,,
James Garner,,MF,Everton,24.0,2001.0,4,3,239,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9054,3413.0,-3174.0,0.060560366079332795,0.237467018469657,0.05649717514124294,576.0,,,,,,,,
James Hill,,DF,Bournemouth,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,2990,2106.0,-1746.0,0.04330484330484331,0.12820512820512822,0.2,529.0,,,,,,,,
James Justin,,"MF,DF",Leeds United,27.0,1998.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7423,1901.0,-1541.0,0.04074052403582566,0.14218009478672985,0.1234567901234568,729.0,,,,,,,,
James Maddison,,"FW,MF",Tottenham,29.0,1996.0,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,8957,37.0,0.0,0.08118892912043287,0.0,0.7960199004975124,841.0,,,,,,,,
James Mcatee,,MF,Nottingham,23.0,2002.0,4,4,333,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,1000,298.0,35.0,0.12432012432012435,0.30303030303030304,0.7692307692307693,529.0,,,,,,,,
James Tarkowski,,DF,Everton,33.0,1992.0,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,False,2026-27,2026,True,4.0,0.25,6,16557,3330.0,-2970.0,0.20334567390250075,0.13513513513513514,0.06153846153846154,1089.0,,,,,,,,
James Trafford,,GK,Leeds United,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3240,360.0,0.0,0.0,0.0,0.0,529.0,,,,,,,,
Jan Paul van Hecke,,DF,Tottenham,25.0,2000.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9192,3210.0,-2850.0,0.04185125586877777,0.1680672268907563,0.060790273556231005,625.0,,,,,,,,
Jannik Schuster,,DF,Brentford,,,2,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,164,,,0.0,,,,,,,,,,,
Jarrad Branthwaite,,DF,Everton,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7055,680.0,-320.0,0.03690670815100742,0.13157894736842105,0.03584229390681004,529.0,,,,,,,,
Jay Dasilva,,"MF,DF",Coventry City,,,4,4,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,354,,,0.0,,,,,,,,,,,
Jaydee Canvot,,DF,Crystal Palace,19.0,2006.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1606,1336.0,-1066.0,0.0,0.0,,361.0,,,,,,,,
Jayden Bogle,,MF,Leeds United,25.0,2000.0,4,4,299,3.3,2,0,2,2,0,0,1,0,0.6,0.0,0.6,0.6,0.6,False,2026-27,2026,True,4.0,0.6,3,5880,2793.0,-2494.0,0.432258064516129,0.0967741935483871,0.0967741935483871,625.0,,,,,,,,
Jean-Philippe Mateta,,FW,Crystal Palace,28.0,1997.0,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,9125,2218.0,-2156.0,0.17298588035881726,0.4878048780487805,0.54421768707483,784.0,,,,,,,,
Jefferson Lerma,,"DF,MF",Crystal Palace,31.0,1994.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9666,1733.0,-1726.0,0.02951550633948078,0.10362694300518134,0.039525691699604744,961.0,,,,,,,,
Jens Hjertø-Dahl,,MF,Hull City,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,9,,,0.0,,,,,,,,,,,
Jeremie Frimpong,,DF,Liverpool,25.0,2000.0,3,2,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1219,1040.0,-861.0,0.028735632183908053,0.08620689655172414,,625.0,,,,,,,,
Joachim Andersen,,DF,Fulham,29.0,1996.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,12168,2875.0,-2695.0,0.018680710651884525,0.031347962382445145,0.13192612137203166,841.0,,,,,,,,
Joe Rodon,,DF,Leeds United,28.0,1997.0,2,2,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3163,2951.0,-2828.0,0.013550135501355014,0.06097560975609757,0.0,784.0,,,,,,,,
Joe Willock,,MF,Newcastle,26.0,1999.0,4,2,200,2.2,1,0,1,1,0,0,0,0,0.45,0.0,0.45,0.45,0.45,False,2026-27,2026,True,4.0,0.45,6,7284,983.0,-783.0,0.36124427007863247,0.18348623853211007,0.1652892561983471,676.0,,,,,,,,
Johan Manzambi,,MF,Aston Villa,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,28,,,0.0,,,,,,,,,,,
John Egan,,DF,Hull City,33.0,1992.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,842,482.0,-122.0,0.0,0.0,,1089.0,,,,,,,,
John McGinn,,MF,Aston Villa,31.0,1994.0,4,4,351,3.9,0,1,1,0,0,0,2,0,0.0,0.26,0.26,0.0,0.26,False,2026-27,2026,True,4.0,0.26,6,13493,2137.0,-1786.0,0.2820719990665156,0.379746835443038,0.20242914979757085,961.0,,,,,,,,
Jordan Pickford,,GK,Everton,31.0,1994.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,17100,3420.0,-3060.0,0.0021717624056805346,0.0,0.02631578947368421,961.0,,,,,,,,
Jorge Cuenca,,DF,Fulham,26.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,1379,938.0,-848.0,0.0,0.0,0.0,676.0,,,,,,,,
Jorrel Hato,,"MF,DF",Chelsea,19.0,2006.0,4,4,258,2.9,0,2,2,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7,False,2026-27,2026,True,4.0,0.7,2,1406,1148.0,-890.0,0.4666666666666666,0.0,,361.0,,,,,,,,
Joshua Acheampong,,DF,Chelsea,19.0,2006.0,3,2,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,1045,666.0,-463.0,0.030030030030030026,0.13513513513513511,0.0,361.0,,,,,,,,
Joshua King,,MF,Fulham,18.0,2007.0,4,4,346,3.8,2,0,2,2,0,0,0,0,0.52,0.0,0.52,0.52,0.52,False,2026-27,2026,True,4.0,0.52,4,4032,1308.0,-962.0,0.4044955300127714,0.20689655172413793,0.0,324.0,,,,,,,,
Joshua Zirkzee,,FW,Manchester Utd,24.0,2001.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2036,626.0,-618.0,0.12372812372812375,0.42857142857142855,0.25641025641025644,576.0,,,,,,,,
